-1000	37	-41
-959	11	-49
-918	-16	-48
-877	-42	-39
-836	-60	-24
-795	-69	-5
-755	-66	14
-714	-52	32
-673	-30	44
-632	-2	49
-591	24	46
-551	48	35
-510	64	18
-469	69	0
-428	63	-20
-387	46	-37
-346	22	-47
-306	-5	-49
-265	-32	-44
-224	-54	-31
-183	-67	-13
-142	-68	7
-102	-59	26
-61	-39	40
-20	-14	48
20	14	48
61	39	40
102	59	26
142	68	7
183	67	-13
224	54	-31
265	32	-44
306	5	-49
346	-22	-47
387	-46	-37
428	-63	-20
469	-69	-0
510	-64	18
551	-48	35
591	-24	46
632	2	49
673	30	44
714	52	32
755	66	14
795	69	-5
836	60	-24
877	42	-39
918	16	-48
959	-11	-49
1000	-37	-41
