#
# $Id: using.dat,v 1.1.1.1 1998/04/15 19:16:43 lhecking Exp $
#
#
891101 00   1.00  14   8.6  94.0
891101 01   1.04  10  17.5  94.4
891101 02   1.08   9   9.7  97.1
891101 03   1.13   9  10.1  94.3
891101 04   1.17   9   5.7  98.3
891101 05   1.21   8   8.1  99.7
891101 06   1.25   7   3.2  99.6
891101 07   1.29   6   2.5  99.8
891101 08   1.33  20   2.3  99.4
891101 09   1.38  30   3.5  96.1
891101 10   1.42  37   7.7  96.4
891101 11   1.46  36   9.8  97.4
891101 12   1.50  30   8.8  97.4
891101 13   1.54  32   9.1  96.5
891101 14   1.58  37   6.3  97.0
891101 15   1.63  35   6.1  97.3
891101 16   1.67  41   8.6  97.2
891101 17   1.71  28   7.6  97.3
891101 18   1.75  16   4.3  97.6
891101 19   1.79  21   4.2  97.5
891101 20   1.83  20   5.6  96.9
891101 21   1.88  24   6.6  96.2
891101 22   1.92  19   5.8  97.1
891101 23   1.96  16   7.4  97.1
891102 00   2.00  13   7.4  96.4
891102 01   2.04   8   6.6  95.6
891102 02   2.08   6   7.4  94.1
891102 03   2.13   6   6.4  95.9
891102 04   2.17   7   6.4  95.5
891102 05   2.21   6   6.7  95.5
891102 06   2.25   6   6.3  94.6
891102 07   2.29   7   6.5  93.1
891102 08   2.33  15   6.5  92.8
891102 09   2.38  22   7.2  93.2
891102 10   2.42  31   9.1  93.9
891102 11   2.46  37  11.0  95.6
891102 12   2.50  40   9.8  98.7
891102 13   2.54  45   9.5  97.3
891102 14   2.58  46  11.4  98.5
891102 15   2.63  46  11.9  99.1
891102 16   2.67  43  13.0  98.8
891102 17   2.71  28  14.5  99.1
891102 18   2.75  25  13.4  99.1
891102 19   2.79  24   9.9  99.7
891102 20   2.83  25   8.1  99.5
891102 21   2.88  24  10.3  99.4
891102 22   2.92  24  12.0  98.7
891102 23   2.96  23  18.2  98.7
891103 00   3.00  20  16.8  99.0
891103 01   3.04  16  14.8  99.2
891103 02   3.08  17  15.5  98.0
891103 03   3.13  17  14.4  99.4
891103 04   3.17  16  14.4  99.4
891103 05   3.21  14  11.3  99.4
891103 06   3.25  13   8.0  99.7
891103 07   3.29  13   6.1  99.9
891103 08   3.33  18   6.4  99.8
891103 09   3.38  31   6.5  98.9
891103 10   3.42  39   7.5  99.0
891103 11   3.46  37   9.1  98.8
891103 12   3.50  33   9.0  99.2
891103 13   3.54  40  10.4  98.7
891103 14   3.58  45  12.9  98.3
891103 15   3.63  45  13.8  98.5
891103 16   3.67  37  16.1  98.9
891103 17   3.71  29  16.0  99.3  57
891103 18   3.75  21  17.4  97.9  55
891103 19   3.79  14  14.6  97.7
891103 20   3.83  11  14.3  97.8  57
891103 21   3.88  15  14.7  96.2  59
891103 22   3.92  10  12.8  95.1  57
891103 23   3.96   8  10.2  97.6
891104 00   4.00   6   7.3  98.6
891104 01   4.04   4   4.7  99.8
891104 02   4.08   3   3.4  98.0
891104 03   4.13   4   2.9  99.6
891104 04   4.17   4   2.1  99.8
891104 05   4.21   4  11.7  99.9
891104 06   4.25   4   4.5  99.9
891104 07   4.29   4   1.6  88.4
891104 08   4.33   4   1.3  65.2
891104 09   4.38   7   1.4  71.4
891104 10   4.42   9   1.3  70.7
891104 11   4.46  14   8.1  99.5
891104 12   4.50  12   4.2  75.3
891104 13   4.54  18  10.9  95.3
891104 14   4.58  16   7.1  87.6
891104 15   4.63  18   3.3  98.9
891104 16   4.67  15   3.4  99.6
891104 17   4.71   8   2.4  99.9
891104 18   4.75   8   2.2  99.8
891104 19   4.79  11   2.2  99.7
891104 20   4.83  14   2.3  99.7
891104 21   4.88  13   2.5  99.7
891104 22   4.92  10   3.1  99.8
891104 23   4.96  12   4.5  99.7
891105 00   5.00   9   4.8  99.7
891105 01   5.04   8   4.9  99.8
891105 02   5.08   5   5.7  97.5
891105 03   5.13   5   5.2  97.6
891105 04   5.17   4   3.3  85.9
891105 05   5.21   5   1.2  71.4
891105 06   5.25   5   1.1  61.8
891105 07   5.29   5   1.0  71.8
891105 08   5.33   5   1.0  55.7
891105 09   5.38   6   1.0  62.2
891105 10   5.42   7   1.1  61.9
891105 11   5.46   9   1.4  65.6
891105 12   5.50  14   2.8  99.6
891105 13   5.54  16   2.1  94.0
891105 14   5.58  16   2.2  85.1
891105 15   5.63  17   2.5  99.7
891105 16   5.67  19   2.2  90.8
891105 17   5.71  16   1.5  61.3
891105 18   5.75  12   1.6  71.8
891105 19   5.79  16   2.8  98.3
891105 20   5.83  17   3.3  88.8
891105 21   5.88  18   1.3  56.5
891105 22   5.92  20   0.9  38.8
891105 23   5.96  12   1.1  50.8
891106 00   6.00  10   2.2  68.4
891106 01   6.04   8   1.2  54.4
891106 02   6.08   8   1.6  58.4
891106 03   6.13   7   1.1  52.2
891106 04   6.17   6   1.1  56.4
891106 05   6.21   6   1.2  55.7
891106 06   6.25   6   1.0  46.2
891106 07   6.29   7   0.5   7.2
891106 08   6.33  17   0.7  13.8
891106 09   6.38  31   1.1  41.5
891106 10   6.42  37   1.5  52.7
891106 11   6.46  36   3.1  83.7
891106 12   6.50  29   2.0  70.0
891106 13   6.54  28   1.6  71.4
891106 14   6.58  38   3.1  99.1
891106 15   6.63  39   5.6  98.2
891106 16   6.67  43   5.7  98.7  59
891106 17   6.71  27   5.7  99.4
891106 18   6.75  15   4.3  99.8
891106 19   6.79  17   4.1  99.7
891106 20   6.83  20   2.9  99.3
891106 21   6.88  16   3.1  96.3
891106 22   6.92  16   2.8  86.1
891106 23   6.96  16   3.3  96.5
891107 00   7.00  12   3.2  98.2
891107 01   7.04  12   1.6  77.7
891107 02   7.08  10   3.0  98.7
891107 03   7.13   8   1.7  71.1
891107 04   7.17   8   2.8  81.4
891107 05   7.21   8   5.4  92.4
891107 06   7.25   9   5.3  87.7
891107 07   7.29  11   5.6  94.0
891107 08   7.33  15   2.0  74.0
891107 09   7.38  25   2.7  84.3
891107 10   7.42  32   3.0  92.9
891107 11   7.46  41   5.5  97.4
891107 12   7.50  39   6.5  97.5
891107 13   7.54  31   4.4  95.9
891107 14   7.58  35   7.3  98.6
891107 15   7.63  37   8.3  96.3
891107 16   7.67  34   9.2  97.6
891107 17   7.71  20   7.5  99.3
891107 18   7.75  14   7.1  99.5
891107 19   7.79  15   7.1  99.7
891107 20   7.83  16   4.9  99.7
891107 21   7.88  18   4.3  99.7
891107 22   7.92  15   3.1  99.7
891107 23   7.96  11   3.3  99.6
