Assembly	meta_contigs_1_to_meta_ref_2__Lactobacillus_delbrueckii_bulgaricus_ATCC_BAA-365_32_60k.fa	meta_contigs_2_to_meta_ref_2__Lactobacillus_delbrueckii_bulgaricus_ATCC_BAA-365_32_60k.fa
# contigs (>= 0 bp)	5	2
Total length (>= 0 bp)	58663	58868
# contigs	5	2
Largest contig	55106	55421
Total length	58663	58868
Reference length	59999	59999
GC (%)	50.17	50.19
Reference GC (%)	50.25	50.25
N50	55106	55421
NG50	55106	55421
N75	55106	55421
NG75	55106	55421
# misassemblies	0	0
Misassembled contigs length	0	0
# local misassemblies	0	0
# unaligned contigs	0 + 0 part	0 + 0 part
Unaligned contigs length	0	0
Genome fraction (%)	97.575	98.115
Duplication ratio	1.002	1.000
# N's per 100 kbp	1.70	0.00
# mismatches per 100 kbp	23.91	25.48
# indels per 100 kbp	0.00	0.00
Largest alignment	55106	55421
NA50	55106	55421
NGA50	55106	55421
NA75	55106	55421
NGA75	55106	55421
